id_tj,organization,project_name,tech_level,principal,tech_field,coop_org,project_value,project_stage,ip_status,project_desc,id_hb,行业,year,reg_num,project_source,eval_org,id_jjj,项目年度编号,province,中图分类号,成果类别,关键词,application_field,应用行业代码,联系单位地址,传真,电子邮件,ID,技术领域,成果名称,成果简介,市场前景及效益分析,成果产出单位,取得的知识产权,district_code,location,省,市,区县
5.0,天津市大力神非开挖工程公司,长距离（10KV、800M）输送地下电缆的非开挖技术,国内领先,陈铁励,先进制造与自动化,,,成熟应用阶段,发明专利知识产权名称：长距离（10KV、800M）输送地下电缆的非开挖技术专利授权号：00267913.2,非开挖地下管线施工技术是利用岩土钻掘等技术手段，在不开挖地面的条件下进行地下管线等的铺设、更换和修复的一项施工高新技术。近三十年西方发达国家的成功经验证明：非开挖地下管线铺设技术是一项技术先进、实用性强、适用面广、经济效益和社会效益好、有益于环境保护的全新施工技术。1995年起，大力神非开挖工程公司首次把此项技术应用于天津市市政建设。几年来，通过项目研究、技术分析、市场调查，不仅使该技术得以推广及应用，并通过改革钻具，完善施工工艺，改善作业环境，研究新的施工方法，提高了施工技术水平和企业的经济效益。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
6.0,天津市东丽区农林局,硅肥的研制及综合应用技术开发,国内领先,胡维芝,现代农业,,381.00,成熟应用阶段,,硅肥是一种以含硅酸钙为主的矿物质肥料，其原料是工业废料（水淬渣），应用范围广，施用效果显著。硅肥的研制和综合应用技术开发于一九九六年在天津市科委立项，列入农业重点攻关项目，编号963115411。硅肥的研制生产情况：1、建立了硅肥生产厂及年产2.5万吨的硅肥生产线，其小砂粒硅肥生产工艺生产的小砂粒硅肥比国内同类粉末肥成本低、使用方便、效果号。2、完成了高效复合型添加剂的研制应用，使硅肥中主要元素（Si、Ca、Mg）的利用率提高到60-70，高于同类产品1倍多。3、研制开发了硅肥的新产品硅钙肥，其应用范围更广，增产抗病防虫效果更显著。综合应用技术开发完成情况：完成了在多种作物上的多项应用效果试验。1、完成了在不同土壤含硅量的条件下硅肥的应用效果试验，确定土壤有效硅含量的临界值（水稻）为300mg/kg；2、完成了硅肥不同施用量的试验，找出了粮、菜、果主要作物上的最佳施用量，即粮食作物50kg/亩，菜果50—75kg/亩；3、完成了硅肥不同品种的试验，以2mm以下的小砂粒型硅肥成本低、效果好；4、完成了硅肥不同施用方法的试验，以底肥效果最佳。5、完成了硅肥治理重金属元素镉污染的研究应用，在污灌区施用硅肥，可明显降低农产品中镉的含量。本项目研制的细粒型（小砂粒型）硅肥及高效复合型添加剂在国内属首创，技术指标在国内同类产品中居领先水平；本项目系统地进行了农田应用试验研究，所取得的大量数据对硅肥的大面积推广应用具有指导作用。本项目技术成熟，已进入规模化生产和应用阶段，在全国缺硅缺钙地区皆可推广应用。项目实施5年，累计生产硅肥1.2万吨，在津、京、冀、鲁等十四个省市应用面积20余万亩，具有显著的经济效益、社会效益和生态效益。存在问题：硅肥做为一种新型肥料，农民还很陌生，现应用面积比例很小，以后应重点开发硅肥的复混肥，并加大硅肥的宣传力度。			,,,,,,,,,,,,,,,,,,,,,,,,,120110,东丽区,120000,120100,120110
8.0,中国人民解放军军事医学科学院卫生装备研究所,电去离子技术和反渗透-电去离子高纯水设备的研究,国际先进,龚承元,资源与环境,,70.00,初期阶段,发明专利知识产权名称：一种电去离子装置专利授权号：CN99241918.2,电去离子（Electrodeionization，简称EDI）是国际上20世纪90年代才逐步成熟的高纯水生产技术，是电渗析与离子交换有机结合形成的新型膜分离技术。它既保留了电渗析可连续脱盐及离子交换树脂可深度脱盐的优点，又克服了电渗析浓差极化所造成的不良影响及离子交换树脂需用酸碱再生的麻烦和造成的环境污染，可连续不间断地生产纯水、高纯水。以反渗透（RO）和EDI组合的高纯水生产新工艺已经成为国际上高纯水生产的最新趋势，可广泛应用于电子、电力、医药、生物技术等领域。本项目分别于1998年和2000年获军事医学科学院创新基金及开发基金资助。国内虽然在1986年前就曾有文献报道过填充床电渗析的研究，近两年来，国内一些单位又开始EDI的研究工作，但迄今未见实用性的成果报道。在国际上，目前仅美国、加拿大等少数几个国家拥有EDI技术和装置。虽然国外公司的产品已开始进入中国市场，但价格十分昂贵。本项研究的目标是解决EDI的关键技术，研制小型及产水1m3/h以上的RO-EDI高纯水设备，产水电阻率15～18MΩ·cm，推动我国EDI技术的实用化进程，促进产业化，开发以RO和EDI为核心的高纯水技术，占领国内高纯水技术市场。在院、所领导及机关支持下，我们发明了一种全部采用国产材料构建的EDI膜堆，确定了EDI膜堆工艺操作参数，探讨了过程的稳定性，分析了EDI过程中的离子交换、离子迁移、电再生之间的关系，实现了EDI操作性能的可靠性、稳定性。同时，我们研究了以RO和EDI为核心的、产水量20l/h～1m3/h的纯水、高纯水生产装置和设备，包括工艺流程的确定和优化、系统设计和自动化控制等，其产水水质、水耗、功耗等主要指标已达到国外同类产品水平。我们研制的RO-EDI纯水、高纯水设备已提供军事医学科学院微检楼纯水工程和北京市金伟凯医学生物技术有限公司等四个单位，投入运行七个多月，设备性能稳定，产水满足了生产和科研需要。今后拟重点在电子、医药、生物技术等行业进行推广，提高我国纯水、高纯水生产水平，实现清洁生产。			,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,天津大学化工学院,特种碳黑表征技术的研究,国内领先,张继炎,材料与化工,"天津海豚碳黑公司,",8.00,初期阶段,,该研究通过对国内外特种炭黑性质的比较，发现由于国产的特种炭黑在原生粒子粒径、结构性质、元素组成含量以及表面化学性质等几个方面与外色素炭黑产品均存在明显的差别，是导致国产色素炭黑在炭黑着色能力、分散性能以及润湿性能与国外有一定的差距的主要原因。通过研究加深了对非像胶用特种炭黑的认识，并为研究和开发色素炭黑提出了建议和研究方向。对一些国内外典型特种炭黑的性能进行的全面表征和对比研究其研究数据翔实，可信，所信用的方法手段与成果达到了国内领先水平，填补了我国本领域的空白。建议继续开拓样品来源，对更多的进口特种碳黑样品品种进行广泛分析对比研究，加强与我市碳黑生产、应用单位的密切合作，开展多种用途的特种碳黑的应用性能研究，并早日将工作重点转向新品种特种色素碳黑（如接枝改性碳黑等）研究与开发。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
23.0,天津市液化气有限责任公司,液化石油气粮食烘干技术及其成套设备,国内领先,刘晨,现代农业,"天津市农村能源办公室,",20.00,中期阶段,,针对我国目前粮食烘干设备尚停留在以煤及柴油为燃料的粮食烘干设备的开发应用，该设备用电量大，烘干不均匀。易出现霉变，提前发芽，空气污染严重。对于技术含量高、使用效果更好的液化气粮食烘干设备的开发在我国尚属空白，因此该项技术研究势在必行。该技术原理及性能指标：1.储气装置（钢瓶）、供气系统采用钢瓶液项直接供给方式，通过过滤器、气化器、调压器、最后至燃烧器燃烧，为安全考虑在过滤器与气化器之间加一液相电磁阀，一旦风室温度发生异常情况，该电磁阀自动关闭。气化器的控制气化温度可相对燃烧器上、下移动气化器环调节，也可通过移动气化器环距燃烧器点的远近来调节。控制气化管路的运行温度大约在50-60之间，燃烧器采用脉冲自动点火装置，有自动熄火保护措施。使风扇转速一般达到2000转/分，调整液化气气相压力表压力调至0.1Mpa左右，以满足燃烧器正常运转时所需空气的配比。为不使烘干机供气系统及整体受到损失，特设置一风室开关，一旦风扇停止转动，风室开关自动关闭且关闭所有电磁阀，使整机处于停止状态。2.动力及机械传输系统保证料箱、多孔内室及裙板等均匀分布热气。3.自动化控制方面有温度自动控制装置，同时风室温度与粮食温度可通过各自的独立的传感器给电磁阀发出信号，使电磁阀自动开启和关闭，更安全、更可靠。装卸料采用自动螺旋装卸料工艺，确保有良好的循环。该技术在引进、消化、吸收美国先进技术和设备的基础上，使整机国产化。结合我国国情，研究与改进了点火系统和风压控制装置，降低成本，提高了操作可靠性，最终完成两个产品（LPGHG-3T、LPGHG-4.5T）。研制的机组设备，技术含量高，可以控制干燥后粮食的品质，粮食干燥均匀，种子烘干后的发芽率不受影响，能源利用率高，符合环境保护的要求，具有良好的市场和推广应用前景。该成果在以LPG为能源的移动式谷物干燥机研究开发方面为国内首创，达到了国内领先水平。该机组运输方便，占地面积小，只要从事农业生产的地方就可应用这一机组。该成果适用于小麦、玉米、豆类以及各种作物种子烘干要求。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
24.0,天津市翱熠技术有限公司,线缆偏心检测技术设备,国内领先,刘宝瑛,先进制造与自动化,,72.00,中期阶段,,本项目应用领域：电线电缆生产线，塑料管材生产线，冷态钢管及各类圆形、异型材料在线或离线状态的壁厚测量及在线反馈控制。性能指标:实际达到可测外径0.5～250mm偏心误差H1＋10μm被测线缆速度*可测材料线缆、塑管、金属管、异型塑管*数据利用反馈、历史资料存储、统计*两条生产线合用有			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
27.0,天津大学,轿车用陶瓷摇臂量产化关键技术研究与开发,国际领先,徐燕申,先进制造与自动化,,125.00,中期阶段,,应用情况及存在问题正进行跑车路试和产业化推进。存在的问题和改进意见有：1）大批量生产时，需设计专用工装及设备，以便提高产量，降低成本，提高质量。2）需要完善质量保证体系和各工序的检测手段。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
37.0,天津市汉沽区水产技术推广站,三疣梭子蟹与对虾混养技术研究,国内先进,刘宝金,,"汉沽区营城乡水产技术站,汉沽区双桥乡技术站,汉沽区蔡家堡乡技术站,",659.60,成熟应用阶段,,该项目是市科委下达的星火计划，目的是推广三疣梭子蟹与对虾混养的养殖技术（包括养殖模式，提高梭子蟹养成成活率的措施，病害防治技术等）。1999年项目实施面积2500亩，总产虾蟹16.5万公斤，其中蟹10.25万公斤，对虾6.25万公斤，平均亩产66公斤，总收入685万元，总效益408万元，亩均纯效益1632元。2000年实施面积5000亩，总产虾蟹39.01万公斤，平均亩产78.02公斤，其中蟹27.61万公斤，对虾11.4万公斤，总收入1651.6万元，总效益956万元，亩均纯效益1912元，超额完成了项目各项指标。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
44.0,天津大学电气自动化与能源工程学院,地热热泵应用技术试验研究,国际先进,张启,资源与环境,,150.00,成熟应用阶段,发明专利专利授权号：00136774·9,本项技术水平大大高于目前国内现有热泵只能供应60℃以下热水的水平，达到了国际先进水平，其创造性的关键技术是采用了与众不同的多元混合循环工质，并申请了发明专利。本项目技术成熟，可以立即推广应用，除了可用于地热排水回收热量外，凡是有适合温度的工业、废水等都可以应用，性能安全、稳定。技术上已具备了推广应用的条件，由于缺少启动资金，同时没有推广、宣传人员和手段，目前尚未推广应用。已有几家公司洽谈。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
46.0,天津大学电气自动化与能源工程学院,地热利用新技术应用研究,国内领先,朱家玲,电子信息,,805.00,中期阶段,,1、该项目主要综合了对地热供热系统设备及现代化管理运行方式的研究，以及对于较普遍采用的设备材料耐腐蚀程度的测试方法和评价。由于包括内容广，又是目前地热供热系统中需要综合解决的问题，因此，课题的研究内容既具有普遍性，研究的成果又具有推广价值。2、该项目研制的所有设备于2000年安装到天津市蝶桥地热站，运行考核。经过一个冬季的检测，性能稳定，运行可靠，采集记录的数据可信，极大地推动了高科技在地热领域的应用。由于经费问题，测试范围有限，故部分测点仍需人工完成。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
